Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0311|ANDRE MATHIEU (PLACE)|TSO|1|0029|TMI|TO3|TO2|||||||
0312|ANDRE LEBRE (RUE)|B|1|0092|B|TO3|TO1|||||||
0313|ANDRE MALRAUX (CHEM)|TNO|1|0064|TNO|TO3|TO1|||||||
0314|ANDRE MARESTAN (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0315|ANDRE MAUROIS (PASS)|TSO|1|0029|TMI|TO3|TO2|||||||
0316|ANDRE MERCADIER (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0317|ANDRE MAZANA (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0318|ANDRE MESSAGER (CHEM)|TSO|1|0029|TMI|TO3|TO2|||||||
0319|ANDRE LARTIGUE (IMP)|B|1|0092|B|TO3|TO1|||||||
0320|ANDRE REAL (IMP)|TN|1|0063|TN|TO3|TO1|||||||
0321|ANDRE NETWILLER (BLD)|B|1|0092|B|TO3|TO1|||||||
0322|ANDRE RIGAUD (IMP)|B|1|0092|B|TO3|TO1|||||||
